,wave_model2_1,wave_model2_2,wave_model2_3,wave_model2_4,wave_model2_5,wave_model2_6,wave_model2_7,ids_stable_period_1,ids_stable_period_2,ids_stable_period_3,ids_no_stable_period
60,141.181818182,137.090909091,136.909090909,147.363636364,138.090909091,131.909090909,143.363636364,1,0,0,0
61,66.5882352941,63.6470588235,63.7058823529,69.5294117647,68.1176470588,70.4117647059,67.5294117647,0,1,0,0
62,98.2941176471,91.8235294118,95.7058823529,108.941176471,123.764705882,116.176470588,95.2941176471,0,1,0,0
63,285.8,237.2,227.2,238.2,246.4,266.8,237.4,1,0,0,0
64,142.25,171.25,170.75,114.5,71.5,72.0,141.25,0,1,0,0
65,340.5,344.5,334.857142857,379.5,581.5,598.357142857,356.642857143,1,0,0,0
66,38.0,40.1153846154,41.9615384615,67.8846153846,60.5,51.8076923077,45.0384615385,0,0,1,0
67,102.428571429,102.857142857,108.571428571,127.142857143,156.714285714,144.428571429,85.5714285714,1,0,0,0
68,50.875,56.125,53.25,51.125,57.625,58.375,57.625,0,1,0,0
69,83.5,89.2222222222,88.7777777778,100.166666667,112.611111111,98.7222222222,87.6111111111,0,1,0,0
70,47.0,57.2222222222,50.1111111111,59.2222222222,67.0,73.4444444444,53.1111111111,0,0,1,0
71,95.25,95.25,99.25,107.75,68.25,72.75,81.25,0,1,0,0
72,376.777777778,377.925925926,374.62962963,394.481481481,447.962962963,445.148148148,401.037037037,1,0,0,0
73,85.25,84.25,99.0,97.0,108.75,100.75,94.0,1,0,0,0
74,88.5789473684,92.6842105263,95.0526315789,95.1052631579,113.789473684,111.631578947,93.3157894737,0,1,0,0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
77,89.5714285714,104.928571429,96.3571428571,130.571428571,104.071428571,114.285714286,104.357142857,0,0,1,0
78,68.75,73.0,68.5,64.5,58.5,65.5,67.75,1,0,0,0
79,138.909090909,124.727272727,140.727272727,144.909090909,45.3636363636,36.7272727273,144.727272727,1,0,0,0
80,49.25,51.0,59.5,49.25,68.25,64.25,57.75,1,0,0,0
81,149.166666667,126.333333333,133.666666667,136.166666667,135.5,134.0,136.333333333,0,1,0,0
82,158.222222222,171.666666667,170.0,185.222222222,142.555555556,135.777777778,177.333333333,1,0,0,0
83,135.0,156.8,145.4,158.4,176.4,169.6,136.2,1,0,0,0
84,148.833333333,142.833333333,152.833333333,157.5,211.5,212.166666667,130.666666667,1,0,0,0
85,107.75,110.25,104.75,117.5,129.0,114.75,99.25,1,0,0,0
86,122.130434783,117.52173913,113.217391304,127.173913043,157.52173913,168.043478261,118.608695652,0,1,0,0
87,128.6,140.1,142.2,142.5,32.7,28.1,138.7,1,0,0,0
88,365.25,417.25,394.625,512.625,634.5,564.125,392.875,1,0,0,0
89,45.2857142857,50.8571428571,57.0714285714,61.0714285714,82.8571428571,74.7857142857,51.7142857143,0,0,1,0
90,170.846153846,165.153846154,170.846153846,200.538461538,245.307692308,245.846153846,156.538461538,1,0,0,0
91,102.0,109.0,79.0,107.0,98.0,120.0,81.0,0,1,0,0
92,138.818181818,139.636363636,146.727272727,147.909090909,207.545454545,200.090909091,134.181818182,1,0,0,0
93,98.1666666667,104.833333333,111.833333333,113.5,89.8333333333,76.8333333333,108.833333333,0,1,0,0
94,141.4,132.2,110.6,133.6,95.4,101.2,138.4,0,0,1,0
95,57.9166666667,63.0833333333,66.8333333333,57.8333333333,59.5833333333,57.6666666667,70.6666666667,0,0,1,0
96,114.0,111.888888889,124.0,124.555555556,140.111111111,138.777777778,127.333333333,1,0,0,0
97,76.125,72.75,77.0,83.625,84.75,85.625,85.125,0,0,1,0
98,65.4285714286,66.8571428571,73.2857142857,76.4285714286,84.2857142857,73.1428571429,67.1428571429,0,1,0,0
99,70.0625,63.5625,59.375,55.75,41.375,51.25,71.9375,0,0,1,0
100,311.9375,322.75,325.8125,342.875,288.6875,195.1875,321.375,1,0,0,0
101,81.5,75.25,69.75,76.25,78.5,92.0,71.5,0,1,0,0
102,143.5,121.5,136.5,122.0,118.0,139.5,126.5,1,0,0,0
103,70.2,70.4,68.0,66.9333333333,83.4666666667,80.8666666667,65.4,0,1,0,0
104,114.25,112.0,105.25,112.75,96.75,80.5,105.25,1,0,0,0
105,103.1,100.3,105.4,115.7,145.7,150.7,101.8,0,1,0,0
106,42.25,49.125,46.625,55.125,51.0,49.125,53.25,0,1,0,0
107,84.0,83.5,84.0,115.25,295.25,220.0,90.25,0,1,0,0
108,110.8,116.8,118.4,141.8,156.6,141.4,97.0,1,0,0,0
109,97.75,101.5,108.0,109.75,107.25,96.75,106.0,1,0,0,0
110,177.833333333,179.0,175.0,186.166666667,166.833333333,150.166666667,166.666666667,1,0,0,0
111,81.7692307692,87.7692307692,87.6923076923,100.384615385,94.6923076923,89.2307692308,92.0,0,1,0,0
112,97.625,112.625,104.25,111.375,137.875,143.0,114.375,1,0,0,0
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
114,497.294117647,513.588235294,510.588235294,630.529411765,384.235294118,321.764705882,469.588235294,1,0,0,0
115,239.75,245.0,262.75,248.0,233.5,256.25,261.5,1,0,0,0
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
117,87.0,82.7142857143,89.1428571429,92.2857142857,127.714285714,131.0,91.8571428571,0,1,0,0
118,77.375,81.25,85.0,82.5,35.0,39.375,87.0,1,0,0,0
119,31.75,28.75,24.25,172.0,237.75,68.75,42.5,0,1,0,0
120,254.5,261.5,260.5,268.5,313.5,337.5,259.0,1,0,0,0
121,54.5,45.0,55.5,57.0,54.0,54.5,35.0,1,0,0,0
122,50.25,54.625,54.75,60.75,63.75,66.25,50.5,0,1,0,0
123,105.555555556,111.222222222,104.444444444,110.333333333,118.222222222,118.777777778,107.333333333,0,1,0,0
124,332.344827586,332.413793103,320.724137931,339.620689655,388.551724138,401.620689655,357.517241379,1,0,0,0
125,62.7857142857,65.2142857143,55.0,86.7857142857,130.214285714,100.357142857,62.0,0,0,1,0
126,77.5,73.0,92.0,97.5,95.5,79.0,98.5,0,1,0,0
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
128,39.5,42.0,34.75,43.0,43.5,52.75,42.75,0,1,0,0
129,226.142857143,233.571428571,241.285714286,244.285714286,301.714285714,301.571428571,225.714285714,1,0,0,0
130,266.875,260.8125,277.75,275.6875,331.875,358.875,273.3125,1,0,0,0
131,56.25,54.5,70.5,56.0,73.5,66.0,62.25,0,1,0,0
132,50.1818181818,55.5454545455,62.6363636364,69.4545454545,79.2727272727,69.3636363636,58.4545454545,0,0,1,0
133,92.0,92.5,89.25,84.25,52.5,35.0,97.5,1,0,0,0
134,208.25,218.25,216.0,190.0,143.25,142.25,215.25,1,0,0,0
135,140.0,118.75,125.75,133.25,122.0,117.25,137.25,1,0,0,0
136,69.2702702703,67.4054054054,66.6486486486,72.1081081081,53.1081081081,54.2432432432,68.7567567568,0,0,1,0
137,74.8333333333,70.3333333333,77.8888888889,83.2777777778,57.5555555556,49.4444444444,72.5555555556,0,1,0,0
138,199.5,195.9,207.1,226.7,167.0,139.2,206.9,1,0,0,0
139,64.375,65.875,62.75,81.125,125.0,119.25,55.5,0,1,0,0
140,302.777777778,325.222222222,325.111111111,341.888888889,170.333333333,150.333333333,312.777777778,1,0,0,0
141,48.75,57.25,61.75,58.25,79.75,88.75,49.5,0,1,0,0
142,569.888888889,566.222222222,543.222222222,567.333333333,241.666666667,247.888888889,584.444444444,1,0,0,0
143,96.375,99.25,101.125,91.0,96.5,86.625,84.25,1,0,0,0
144,82.125,80.375,79.375,86.125,134.25,143.0,78.625,0,1,0,0
145,85.25,85.4166666667,97.1666666667,110.083333333,107.0,94.1666666667,85.75,0,1,0,0
146,388.714285714,383.928571429,382.714285714,429.857142857,538.357142857,545.5,418.571428571,1,0,0,0
147,121.0,127.3,130.9,128.3,112.3,91.8,127.5,1,0,0,0
148,62.8333333333,67.5,64.5,71.6666666667,66.1666666667,77.1666666667,72.5,0,1,0,0
149,148.8,127.9,137.9,159.3,169.4,170.4,139.9,0,1,0,0
150,73.25,67.0,58.0,56.25,109.5,95.75,56.5,0,0,1,0
151,97.8333333333,99.8333333333,100.416666667,105.0,67.3333333333,63.6666666667,89.3333333333,0,1,0,0
152,40.75,52.75,53.0,69.5,58.75,57.5,49.75,0,1,0,0
153,60.9090909091,58.7272727273,66.5454545455,69.2727272727,94.4545454545,88.6363636364,56.0,0,1,0,0
154,103.75,103.0,101.0,106.5,94.75,91.25,117.75,1,0,0,0
155,97.75,91.375,94.375,170.625,167.75,117.625,90.5,1,0,0,0
156,156.0,162.25,165.5,163.25,198.25,190.5,150.75,1,0,0,0
157,79.625,85.125,87.125,93.5,111.25,106.625,73.125,0,1,0,0
158,69.5384615385,65.9230769231,70.3846153846,68.0769230769,66.0,64.3846153846,66.0,0,1,0,0
159,81.5,85.5,88.5,83.5,101.5,109.0,80.75,0,1,0,0
160,293.173913043,297.260869565,311.0,309.0,91.6956521739,79.0434782609,292.217391304,1,0,0,0
161,74.6363636364,85.0909090909,74.0909090909,77.2727272727,77.9090909091,86.8181818182,73.2727272727,0,1,0,0
162,78.8,46.4,48.4,68.2,53.8,43.8,49.0,1,0,0,0
163,61.3333333333,56.8333333333,61.8333333333,70.5,78.8333333333,75.1666666667,61.8333333333,0,1,0,0
164,117.888888889,122.055555556,130.722222222,124.944444444,69.3333333333,58.8333333333,106.888888889,0,1,0,0
165,78.2,80.6,68.6,82.2,91.8,87.4,86.0,0,1,0,0
166,38.5,44.5,37.75,51.5,160.25,158.75,39.75,0,1,0,0
167,174.888888889,172.666666667,150.444444444,136.777777778,115.444444444,118.222222222,158.777777778,0,1,0,0
168,88.0,92.0,93.5,89.5,92.0,94.5,115.0,1,0,0,0
169,57.5,54.3333333333,61.5,71.6666666667,110.666666667,102.0,66.1666666667,1,0,0,0
170,67.0,63.4,66.6,71.0,129.6,124.2,59.2,0,1,0,0
171,188.636363636,195.272727273,200.636363636,213.181818182,146.181818182,132.363636364,192.0,1,0,0,0
172,126.615384615,133.769230769,143.615384615,157.538461538,248.384615385,248.769230769,147.384615385,1,0,0,0
173,167.5,180.5,162.0,159.5,195.0,199.5,187.0,1,0,0,0
174,349.5,306.25,280.25,332.75,348.0,309.5,331.0,1,0,0,0
175,65.3076923077,55.0,67.6923076923,78.1538461538,119.538461538,111.615384615,66.6153846154,0,1,0,0
176,65.9375,66.25,71.1875,84.5625,99.6875,91.375,68.625,0,1,0,0
177,88.3793103448,91.7586206897,94.8620689655,103.827586207,140.862068966,134.586206897,81.8620689655,0,1,0,0
178,84.5,95.25,96.0,112.75,115.0,128.25,96.75,1,0,0,0
179,68.8636363636,72.2272727273,70.3636363636,75.0454545455,77.1818181818,78.9545454545,73.1363636364,0,1,0,0
180,213.0,219.8,225.2,217.8,259.3,305.5,215.6,1,0,0,0
181,44.0,50.75,57.75,65.25,82.25,86.5,58.0,0,1,0,0
182,31.0,32.75,29.75,119.25,162.75,74.0,38.25,0,1,0,0
183,234.333333333,237.916666667,236.75,253.916666667,140.333333333,110.333333333,235.833333333,1,0,0,0
184,45.3333333333,53.5,53.6666666667,58.1666666667,61.6666666667,58.5,49.0,0,1,0,0
185,75.0,74.0,80.25,77.5,79.25,81.0,80.0,1,0,0,0
186,179.571428571,169.714285714,188.0,180.857142857,216.571428571,230.571428571,173.142857143,1,0,0,0
187,59.375,68.875,67.25,150.125,165.625,73.625,62.875,1,0,0,0
188,101.5,89.1666666667,100.166666667,98.6666666667,114.5,112.0,98.0,1,0,0,0
189,371.35,376.3,380.4,407.05,538.25,568.8,385.85,1,0,0,0
190,63.1,65.8,83.6,102.2,79.6,69.0,66.8,0,0,1,0
191,105.181818182,106.818181818,115.636363636,122.636363636,66.6363636364,58.6363636364,105.181818182,0,1,0,0
192,48.1304347826,52.347826087,49.1304347826,64.7391304348,92.2173913043,99.4782608696,47.652173913,0,0,1,0
193,102.625,110.25,124.375,139.25,139.375,156.375,103.75,1,0,0,0
194,94.5,90.0,97.0,105.875,73.875,43.875,87.625,0,1,0,0
195,56.0,65.0,65.75,71.75,102.5,97.75,72.75,0,1,0,0
196,61.2857142857,58.5714285714,57.7142857143,79.0,145.714285714,147.857142857,50.1428571429,0,0,1,0
197,43.0555555556,41.6111111111,41.1111111111,56.6111111111,71.7777777778,70.0555555556,42.0,0,1,0,0
198,133.571428571,135.285714286,143.285714286,144.0,75.7142857143,58.1428571429,137.857142857,1,0,0,0
199,132.285714286,145.142857143,134.571428571,150.714285714,161.428571429,175.285714286,138.857142857,1,0,0,0
200,218.666666667,209.444444444,219.0,252.666666667,364.777777778,329.555555556,217.111111111,1,0,0,0
201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
202,91.875,114.5,118.5,75.125,53.0,62.625,87.875,0,0,1,0
203,316.1875,342.625,347.3125,375.5625,565.625,588.5,362.3125,1,0,0,0
204,63.6666666667,64.8333333333,65.8333333333,81.6666666667,70.6666666667,48.5,68.1666666667,0,1,0,0
205,119.5,119.25,118.75,153.0,145.5,154.5,122.0,1,0,0,0
206,38.0,33.5,40.25,40.25,64.0,71.0,31.25,0,1,0,0
207,73.3333333333,74.6666666667,78.5555555556,89.1111111111,135.666666667,137.666666667,64.7777777778,0,1,0,0
208,68.5,71.5,81.0,80.25,93.0,83.0,83.75,0,1,0,0
209,60.5263157895,59.8947368421,61.9473684211,72.8421052632,97.6315789474,99.8421052632,62.0526315789,0,0,1,0
210,123.25,124.5,135.25,171.75,217.25,256.5,173.25,1,0,0,0
211,88.2424242424,90.8484848485,93.9090909091,110.333333333,136.454545455,132.333333333,91.0,0,1,0,0
212,40.2,40.2,40.0,44.4,69.2,75.2,27.0,0,0,1,0
213,64.25,49.5,46.5,38.25,37.25,41.25,57.0,0,1,0,0
214,44.0,39.4,41.0,42.2,66.4,72.6,35.2,0,1,0,0
215,118.176470588,112.176470588,118.647058824,149.647058824,236.235294118,215.294117647,111.117647059,0,1,0,0
216,63.5,63.5833333333,60.75,57.1666666667,53.3333333333,56.25,58.0,0,1,0,0
217,258.826086957,266.913043478,268.260869565,307.608695652,319.782608696,323.652173913,256.130434783,1,0,0,0
218,72.8571428571,81.2857142857,90.1428571429,87.5714285714,23.7142857143,12.0,77.8571428571,0,1,0,0
219,65.6,66.7,65.5,73.8,61.0,68.6,65.6,0,1,0,0
220,92.2142857143,95.8571428571,96.5714285714,105.142857143,58.5,53.8571428571,86.8571428571,1,0,0,0
221,102.363636364,94.6363636364,89.0909090909,117.0,106.818181818,103.363636364,90.0909090909,0,1,0,0
222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
223,80.625,76.3125,83.25,93.1875,110.125,103.375,79.75,0,1,0,0
224,113.923076923,122.692307692,122.538461538,123.846153846,25.9230769231,19.9230769231,122.615384615,1,0,0,0
225,96.5714285714,103.5,100.285714286,98.0,89.2857142857,87.9285714286,102.214285714,0,1,0,0
226,168.666666667,176.0,168.222222222,170.444444444,157.222222222,161.777777778,175.555555556,1,0,0,0
227,78.2,66.2,65.2,77.2,101.6,95.2,57.6,0,1,0,0
228,49.875,56.0,50.875,58.0,63.5,66.75,56.875,0,1,0,0
229,48.5,52.0,51.5,168.25,200.75,68.75,50.75,1,0,0,0
230,50.75,59.0,58.0,58.0,59.25,66.5,58.0,0,1,0,0
231,60.25,68.75,67.0,66.25,71.75,85.0,71.0,1,0,0,0
232,72.25,68.9375,69.4375,71.25,69.3125,62.5,74.4375,0,1,0,0
233,201.75,203.875,197.25,245.25,376.5,378.625,202.375,1,0,0,0
234,150.153846154,148.538461538,144.384615385,147.846153846,154.692307692,157.538461538,150.461538462,0,1,0,0
235,83.2173913043,87.1304347826,88.4782608696,102.913043478,120.173913043,106.086956522,84.0869565217,0,0,1,0
236,58.75,54.5,62.0,66.25,78.0,99.0,48.25,0,1,0,0
237,66.75,65.25,65.0,84.0,74.25,71.75,55.75,0,1,0,0
238,110.285714286,117.285714286,113.857142857,130.714285714,119.142857143,107.428571429,93.0,1,0,0,0
239,65.2,74.8,63.6,81.2,112.6,102.0,68.2,1,0,0,0
240,261.0625,279.375,296.1875,457.25,313.125,210.75,246.5,1,0,0,0
241,80.9090909091,79.2727272727,76.3636363636,75.0,89.7272727273,86.9090909091,81.3636363636,1,0,0,0
242,81.4615384615,80.5384615385,75.8461538462,81.3846153846,72.2307692308,65.9230769231,87.6153846154,0,1,0,0
243,175.285714286,196.785714286,189.785714286,209.071428571,283.0,285.857142857,190.071428571,1,0,0,0
244,85.4,104.4,110.2,92.2,70.6,70.2,94.8,0,0,1,0
245,136.25,131.5,131.75,191.75,142.75,137.75,133.25,0,1,0,0
246,22.75,27.25,25.75,32.25,71.75,73.0,25.25,0,1,0,0
247,143.333333333,146.333333333,144.0,165.666666667,154.333333333,142.333333333,168.333333333,0,1,0,0
248,47.5,43.75,48.125,44.375,42.75,43.875,48.625,0,0,1,0
249,134.9,140.4,136.5,126.7,59.6,40.5,137.2,1,0,0,0
250,50.0,47.2,48.4,49.4,80.2,76.0,42.6,0,1,0,0
251,81.7777777778,70.4444444444,83.5555555556,79.8888888889,47.0,37.4444444444,88.3333333333,0,1,0,0
252,116.25,135.75,129.25,121.5,167.75,151.25,94.5,0,0,1,0
253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
254,61.4444444444,67.4444444444,63.7777777778,67.6666666667,25.4444444444,37.5555555556,64.7777777778,0,0,1,0
255,77.6,77.8,68.0,73.2,66.8,66.6,75.6,1,0,0,0
256,185.818181818,187.454545455,186.636363636,206.272727273,246.909090909,259.454545455,191.545454545,1,0,0,0
257,70.7333333333,76.0,73.0,82.8666666667,73.6,77.0,78.0666666667,0,1,0,0
258,85.6666666667,73.0,76.8333333333,86.3333333333,85.8333333333,89.3333333333,76.3333333333,0,1,0,0
259,71.0,69.5,69.5,63.0,70.0,88.0,80.0,1,0,0,0
260,82.125,87.0,85.625,82.125,93.5,82.75,76.875,0,1,0,0
261,92.25,92.0,82.25,108.25,138.75,130.5,90.75,1,0,0,0
262,78.0,69.75,62.5,72.0,68.25,74.75,82.75,0,1,0,0
263,105.230769231,125.846153846,127.769230769,125.153846154,125.307692308,131.0,122.153846154,1,0,0,0
264,140.25,151.5,145.75,147.0,174.0,155.25,164.5,1,0,0,0
265,103.307692308,104.846153846,104.307692308,112.615384615,112.461538462,109.307692308,105.230769231,1,0,0,0
266,53.5,58.1666666667,52.8333333333,61.8333333333,60.0,58.6666666667,42.3333333333,0,1,0,0
267,79.4285714286,76.8571428571,80.1428571429,78.5714285714,78.4285714286,76.1428571429,75.1428571429,1,0,0,0
268,81.0666666667,84.7333333333,84.2,85.8666666667,64.2,62.2666666667,85.8666666667,0,1,0,0
269,92.4285714286,95.1428571429,103.571428571,87.5714285714,66.8571428571,79.8571428571,99.8571428571,1,0,0,0
270,128.8,140.2,145.4,168.8,157.2,164.6,137.8,1,0,0,0
271,60.4137931034,57.5862068966,62.3793103448,59.9655172414,55.7586206897,56.1034482759,60.7931034483,0,0,1,0
272,331.375,337.5,331.375,330.75,264.125,276.5,352.375,1,0,0,0
273,122.0,122.0,129.0,139.0,163.0,153.25,106.5,1,0,0,0
274,57.7777777778,72.6666666667,61.2222222222,68.3333333333,73.7777777778,62.6666666667,79.5555555556,0,1,0,0
275,299.375,291.25,288.0,311.125,361.5,397.875,405.375,0,0,1,0
276,99.4375,106.25,103.5625,107.0625,133.9375,131.8125,112.5625,0,1,0,0
277,44.3333333333,50.4,44.4666666667,56.0,93.9333333333,90.4,38.1333333333,0,1,0,0
278,148.7,166.6,175.6,360.5,475.4,254.3,166.6,1,0,0,0
279,326.857142857,319.785714286,336.0,388.642857143,466.857142857,447.285714286,310.071428571,1,0,0,0
280,52.125,54.625,55.125,62.125,75.75,71.125,53.875,0,1,0,0
281,151.5,154.571428571,150.142857143,180.142857143,196.357142857,191.071428571,144.5,1,0,0,0
282,280.111111111,307.555555556,324.333333333,322.777777778,154.111111111,160.0,327.111111111,1,0,0,0
283,137.444444444,123.666666667,139.0,160.111111111,205.333333333,195.111111111,123.333333333,1,0,0,0
284,61.375,59.125,62.25,85.25,118.875,102.125,56.25,0,0,1,0
285,213.833333333,230.166666667,218.666666667,292.833333333,179.333333333,201.166666667,218.0,1,0,0,0
286,208.5,223.75,255.25,173.5,101.75,114.5,228.0,0,1,0,0
287,217.304347826,218.434782609,206.739130435,238.304347826,251.434782609,251.826086957,213.652173913,1,0,0,0
288,67.4666666667,71.6,64.3333333333,78.8,103.666666667,98.0,67.4666666667,0,1,0,0
289,47.625,51.3125,52.5,54.125,63.875,61.25,46.25,0,1,0,0
290,53.7777777778,64.1111111111,59.5555555556,63.1111111111,64.6666666667,57.5555555556,57.6666666667,0,1,0,0
291,96.6666666667,103.222222222,105.888888889,102.888888889,33.6666666667,36.7777777778,105.333333333,0,1,0,0
292,115.846153846,111.846153846,120.846153846,121.153846154,87.5384615385,71.7692307692,127.153846154,0,1,0,0
293,169.473684211,202.631578947,179.157894737,185.684210526,191.210526316,202.684210526,199.263157895,1,0,0,0
294,144.2,130.2,121.8,143.4,111.4,91.8,141.6,1,0,0,0
295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
296,358.166666667,367.208333333,383.583333333,413.041666667,567.708333333,562.708333333,360.791666667,1,0,0,0
297,249.5,243.0,276.5,259.0,295.0,317.0,355.0,1,0,0,0
298,244.333333333,240.611111111,246.388888889,284.722222222,401.333333333,453.444444444,262.944444444,1,0,0,0
299,225.25,203.625,213.625,263.75,319.125,289.125,210.625,1,0,0,0
300,80.5,90.875,76.375,89.25,94.375,89.5,92.75,0,1,0,0
301,83.0,87.2727272727,86.9090909091,96.0,91.0909090909,78.7272727273,78.9090909091,0,1,0,0
302,84.5,81.0,82.125,72.5,70.0,72.875,93.625,0,0,1,0
303,46.9,38.3,42.6,43.7,72.6,74.2,46.4,0,1,0,0
304,270.272727273,260.818181818,279.727272727,292.272727273,266.636363636,250.818181818,257.181818182,1,0,0,0
305,55.25,52.5,63.75,73.75,98.75,75.5,54.75,1,0,0,0
306,363.6,374.8,370.2,366.0,63.8,60.0,364.8,0,1,0,0
